"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Antigua and Barbuda","ATG","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","139394.479618273","","","","","","","",
"Austria","AUT","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56791.9423301443","56902.3285175902","57684.1491698255","59015.9212692288","61674.1017741328","67597.0037683852","70323.2173272268","72154.7515836498","72647.9283434164","74742.8043203801","77459.4858530437","77276.3573088235","78521.7463240896","90926.4886036763","86903.5228893006","86636.4108353719","91523.7828265561","93261.9725211507","87018.4555707044","89305.4176713971","88042.5605136234","88475.8920604957","89172.3143994146","89638.0752136511","88727.8322425966","90862.2748162148","95624.1771734717","96234.5753983031","97043.7080356218","","","",
"Azerbaijan","AZE","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15308.3774083632","11770.7514162889","8745.67703106773","7761.09187546961","8471.24262755003","10215.0030700897","12196.6828760594","12463.5443661802","11150.5514255297","12073.2818389886","12543.5800154831","13697.1384004563","14673.7083139513","20810.2492214241","30267.6966882529","38907.6683369428","43540.0936226023","45056.2685446563","42521.0183523776","38702.4037038341","37118.5138191831","37877.1251200859","37439.1458243699","36566.5458464261","33730.2854066822","32043.5601996177","30677.1265919768","30728.3236987021","","","",
"Burundi","BDI","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8919.6158651951","9808.83233491908","8549.43885192626","7098.30170760096","6085.80485429496","6510.39527883421","6556.38318616296","6501.85243447817","6661.1781506265","6087.95590177713","5458.80331650247","4855.76234521136","4289.06775735299","3830.02024902088","3601.20118850035","3561.78779543669","3581.94812571477","3504.84431309046","3553.71381965077","3354.90841245244","3200.2406305326","3151.88803667973","3026.28861025797","3007.57313342328","2450.68915882961","2335.9010541968","2278.4512562856","2293.78251102015","2304.41471771253","","","",
"Belgium","BEL","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60618.7613171233","63525.2838258349","66758.3735723246","68247.9038014507","70961.0610800465","72762.65863571","75433.6529993822","74461.6052646776","77375.6591706216","79276.9139008683","80242.098275986","80307.9281140663","82786.1670971589","79186.603357055","79520.8721781012","82298.5776106771","83233.4313142048","86966.9946185323","86924.307751383","90609.9445421701","92687.8349845583","91896.7433600547","93770.9188865204","90404.7435396215","92388.3741476042","","","",
"Benin","BEN","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2031.51076311781","2140.89325385607","2031.50063327726","2010.6674548471","2025.10168970371","2118.02308497281","2132.54201045192","2077.19782517495","2055.6786216554","2187.83457286649","2420.53420765406","2403.32819950937","2364.72547582476","2331.44913171661","2415.15276718709","2434.51938759055","2348.31682486066","2101.77621170834","2088.78571689987","2112.94906500195","2105.02273492562","2127.5702038648","2194.28390938293","2215.37232214048","2436.36319753348","2401.80567412804","2337.83403067085","2374.69961922392","2608.77982902037","","","",
"Burkina Faso","BFA","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4946.19725345595","4971.66235465047","5064.33387735189","4615.6943964102","4090.23332242381","3593.53819080755","3788.8277240417","3470.94752220364","4086.23630975329","3471.25208684484","3190.96534412585","2949.58423942898","2909.79130889427","2684.51022819235","2466.10403961068","2238.48427771231","2203.07431932994","1886.48905027858","1841.91395009785","1811.33214213119","1797.76867540501","1567.14966032936","1460.07674242372","1442.92433101628","1564.04508999952","1675.5242642576","1796.86156870126","1880.0510438102","1866.69746061345","","","",
"Bangladesh","BGD","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1848.89645782062","2053.26134231469","2306.28212915629","2597.67038091715","2954.31671846337","3259.24270350402","3283.21376707251","3398.74680077414","3402.50161862632","3422.35775451466","3432.61637753857","3400.00792653198","3377.49548784754","3347.61589472789","3323.65550080655","3379.3353085447","3449.85305120421","3475.58848289564","3517.41853104282","3466.89368810651","3629.95599239594","3813.30496739773","4021.30397121819","4174.66641002689","4381.49438391801","4664.85883440666","4865.11606025803","5230.44450895022","5648.94801386766","","","",
"Bulgaria","BGR","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4822.64354432583","4638.56363023303","4550.81353530575","4993.02132564433","4905.86125932347","5045.94717918795","5842.55362291106","6116.15711788006","6426.84226472159","7737.9529425439","8367.36852151945","8845.88266177443","9328.6382486635","9170.81204619632","9219.90838882356","9510.95406052723","9866.07188794841","9744.62385422469","9947.19919861737","10415.4258870978","11929.3501674858","12289.9090586593","12772.6588268743","12937.9832596789","13241.7882339709","14010.2759744372","13831.6183306533","13571.9590835337","13208.3960780799","","","",
